frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,0,-71.83176802607977,-0.04,-71.83176802607977,-0.04001333333333333
0,0.0,EXT_R,EXT,3001,0.0,-0.04,-71.83176802607977,-0.04001333333333333
1,0.5,EXT_L,EXT,0,-71.66080973001529,-0.03990480073050553,-71.66080973001529,-0.03991810233074903
1,0.5,EXT_R,EXT,3001,0.0,-0.04,-71.66080973001529,-0.03991810233074903
2,1.0,EXT_L,EXT,0,-71.49092159275753,-0.0398101973860933,-71.49092159275753,-0.03982346745188867
2,1.0,EXT_R,EXT,3001,0.0,-0.04,-71.49092159275753,-0.03982346745188867
3,1.5,EXT_L,EXT,0,-71.32209740429772,-0.03971618650867844,-71.32209740429772,-0.039729425237514666
3,1.5,EXT_R,EXT,3001,0.0,-0.04,-71.32209740429772,-0.039729425237514666
4,2.0,EXT_L,EXT,0,-71.15433095803239,-0.03962276464207233,-71.15433095803239,-0.03963597223028636
4,2.0,EXT_R,EXT,3001,0.0,-0.04,-71.15433095803239,-0.03963597223028636
5,2.5,EXT_L,EXT,0,-70.98761605185959,-0.03952992833259307,-70.98761605185959,-0.0395431049753706
5,2.5,EXT_R,EXT,3001,0.0,-0.04,-70.98761605185959,-0.0395431049753706
6,3.0,EXT_L,EXT,0,-70.82194648924506,-0.03943767412965914,-70.82194648924506,-0.03945082002103569
6,3.0,EXT_R,EXT,3001,0.0,-0.04,-70.82194648924506,-0.03945082002103569
7,3.5,EXT_L,EXT,0,-70.6573160802587,-0.039345998586366594,-70.6573160802587,-0.039359113919228715
7,3.5,EXT_R,EXT,3001,0.0,-0.04,-70.6573160802587,-0.039359113919228715
8,4.0,EXT_L,EXT,0,-70.49371864258158,-0.03925489826004985,-70.49371864258158,-0.03926798322613653
8,4.0,EXT_R,EXT,3001,0.0,-0.04,-70.49371864258158,-0.03926798322613653
9,4.5,EXT_L,EXT,0,-70.33114800248418,-0.03916436971282636,-70.33114800248418,-0.03917742450273064
9,4.5,EXT_R,EXT,3001,0.0,-0.04,-70.33114800248418,-0.03917742450273064
10,5.0,EXT_L,EXT,0,-70.1695979957759,-0.039074409512125395,-70.1695979957759,-0.039087434315296106
10,5.0,EXT_R,EXT,3001,0.0,-0.04,-70.1695979957759,-0.039087434315296106
11,5.5,EXT_L,EXT,0,-70.00906246872643,-0.03898501423120111,-70.00906246872643,-0.03899800923594485
11,5.5,EXT_R,EXT,3001,0.0,-0.04,-70.00906246872643,-0.03899800923594485
12,6.0,EXT_L,EXT,0,-69.8495352789594,-0.038896180449630204,-69.8495352789594,-0.03890914584311341
12,6.0,EXT_R,EXT,3001,0.0,-0.04,-69.8495352789594,-0.03890914584311341
13,6.5,EXT_L,EXT,0,-69.69101029631858,-0.0388079047537942,-69.69101029631858,-0.03882084072204546
13,6.5,EXT_R,EXT,3001,0.0,-0.04,-69.69101029631858,-0.03882084072204546
14,7.0,EXT_L,EXT,0,-69.53348140370726,-0.03872018373734692,-69.53348140370726,-0.03873309046525937
14,7.0,EXT_R,EXT,3001,0.0,-0.04,-69.53348140370726,-0.03873309046525937
15,7.5,EXT_L,EXT,0,-69.37694249790091,-0.038633014001667014,-69.37694249790091,-0.0386458916730009
15,7.5,EXT_R,EXT,3001,0.0,-0.04,-69.37694249790091,-0.0386458916730009
16,8.0,EXT_L,EXT,0,-69.22138749033397,-0.03854639215629605,-69.22138749033397,-0.03855924095368148
16,8.0,EXT_R,EXT,3001,0.0,-0.04,-69.22138749033397,-0.03855924095368148
17,8.5,EXT_L,EXT,0,-69.06681030786079,-0.03846031481936231,-69.06681030786079,-0.0384731349243021
17,8.5,EXT_R,EXT,3001,0.0,-0.04,-69.06681030786079,-0.0384731349243021
18,9.0,EXT_L,EXT,0,-68.9132048934915,-0.038374778617990504,-68.9132048934915,-0.03838757021086317
18,9.0,EXT_R,EXT,3001,0.0,-0.04,-68.9132048934915,-0.03838757021086317
19,9.5,EXT_L,EXT,0,-68.76056520710293,-0.038289780188697685,-68.76056520710293,-0.038302543448760586
19,9.5,EXT_R,EXT,3001,0.0,-0.04,-68.76056520710293,-0.038302543448760586
20,10.0,EXT_L,EXT,0,-68.60888522612531,-0.03820531617777564,-68.60888522612531,-0.038218051283168235
20,10.0,EXT_R,EXT,3001,0.0,-0.04,-68.60888522612531,-0.038218051283168235
21,10.5,EXT_L,EXT,0,-68.45815894620499,-0.03812138324165991,-68.45815894620499,-0.03813409036940713
21,10.5,EXT_R,EXT,3001,0.0,-0.04,-68.45815894620499,-0.03813409036940713
22,11.0,EXT_L,EXT,0,-68.30838038184372,-0.03803797804728581,-68.30838038184372,-0.038050657373301565
22,11.0,EXT_R,EXT,3001,0.0,-0.04,-68.30838038184372,-0.038050657373301565
23,11.5,EXT_L,EXT,0,-68.15954356701492,-0.03795509727243156,-68.15954356701492,-0.03796774897152237
23,11.5,EXT_R,EXT,3001,0.0,-0.04,-68.15954356701492,-0.03796774897152237
24,12.0,EXT_L,EXT,0,-68.01164255575735,-0.03787273760604892,-68.01164255575735,-0.037885361851917605
24,12.0,EXT_R,EXT,3001,0.0,-0.04,-68.01164255575735,-0.037885361851917605
25,12.5,EXT_L,EXT,0,-67.86467142274662,-0.037790895748581424,-67.86467142274662,-0.037803492713830954
25,12.5,EXT_R,EXT,3001,0.0,-0.04,-67.86467142274662,-0.037803492713830954
26,13.0,EXT_L,EXT,0,-67.71862426384509,-0.03770956841227055,-67.71862426384509,-0.03772213826840797
26,13.0,EXT_R,EXT,3001,0.0,-0.04,-67.71862426384509,-0.03772213826840797
27,13.5,EXT_L,EXT,0,-67.57349519663039,-0.03762875232145012,-67.57349519663039,-0.0376412952388906
27,13.5,EXT_R,EXT,3001,0.0,-0.04,-67.57349519663039,-0.0376412952388906
28,14.0,EXT_L,EXT,0,-67.4292783609033,-0.037548444212829026,-67.4292783609033,-0.03756096036089997
28,14.0,EXT_R,EXT,3001,0.0,-0.04,-67.4292783609033,-0.03756096036089997
29,14.5,EXT_L,EXT,0,-67.28596791917501,-0.03746864083576262,-67.28596791917501,-0.037481130382707874
29,14.5,EXT_R,EXT,3001,0.0,-0.04,-67.28596791917501,-0.037481130382707874
30,15.0,EXT_L,EXT,0,-67.14355805713473,-0.0373893389525131,-67.14355805713473,-0.037401802065497265
30,15.0,EXT_R,EXT,3001,0.0,-0.04,-67.14355805713473,-0.037401802065497265
31,15.5,EXT_L,EXT,0,-67.00204298409756,-0.03731053533849887,-67.00204298409756,-0.0373229721836117
31,15.5,EXT_R,EXT,3001,0.0,-0.04,-67.00204298409756,-0.0373229721836117
32,16.0,EXT_L,EXT,0,-66.86141693343338,-0.03723222678253342,-66.86141693343338,-0.03724463752479427
32,16.0,EXT_R,EXT,3001,0.0,-0.04,-66.86141693343338,-0.03724463752479427
33,16.5,EXT_L,EXT,0,-66.72167416297702,-0.03715441008705372,-66.72167416297702,-0.03716679489041607
33,16.5,EXT_R,EXT,3001,0.0,-0.04,-66.72167416297702,-0.03716679489041607
34,17.0,EXT_L,EXT,0,-66.58280895542036,-0.03707708206833852,-66.58280895542036,-0.037089441095694634
34,17.0,EXT_R,EXT,3001,0.0,-0.04,-66.58280895542036,-0.037089441095694634
