frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
0,0.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
1,1.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
1,1.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
2,2.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
2,2.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
3,3.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
3,3.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
4,4.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
4,4.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
5,5.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
5,5.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
6,6.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
6,6.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
7,7.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
7,7.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
8,8.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
8,8.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
9,9.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
9,9.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
10,10.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
10,10.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
11,11.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
11,11.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
12,12.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
12,12.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
13,13.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
13,13.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
14,14.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
14,14.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
15,15.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
15,15.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
16,16.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
16,16.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
17,17.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
17,17.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
18,18.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
18,18.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
19,19.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
19,19.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
20,20.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
20,20.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
21,21.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
21,21.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
22,22.0,EXT_L,EXT,-2359.0,-177.76028831912078,-0.06087295081967214,-177.76028831912078,-0.06087295081967214
22,22.0,topoI,21,2521.0,-177.76028831912078,-0.06087295081967214,-177.76028831912078,-0.06087295081967214
22,22.0,EXT_R,EXT,7521.0,0.0,-0.06,-177.76028831912078,-0.06087295081967214
23,23.0,EXT_L,EXT,-1999.0,-177.76028831912078,-0.06087295081967214,-177.76028831912078,-0.06087295081967214
23,23.0,gyrase,24,2881.0,-177.76028831912078,-0.06087295081967214,-177.76028831912078,-0.06087295081967214
23,23.0,EXT_R,EXT,7881.0,0.0,-0.06,-177.76028831912078,-0.06087295081967214
24,24.0,EXT_L,EXT,-1999.0,-179.55548412117207,-0.061487704918032786,-179.55548412117207,-0.061487704918032786
24,24.0,gyrase,24,2881.0,-179.55548412117207,-0.061487704918032786,-179.55548412117207,-0.061487704918032786
24,24.0,EXT_R,EXT,7881.0,0.0,-0.06,-179.55548412117207,-0.061487704918032786
25,25.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
25,25.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
26,26.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
26,26.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
27,27.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
27,27.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
28,28.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
28,28.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
29,29.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
29,29.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
30,30.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
30,30.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
31,31.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
31,31.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
32,32.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
32,32.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
33,33.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
33,33.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
34,34.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
34,34.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
35,35.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
35,35.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
36,36.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
36,36.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
37,37.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
37,37.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
38,38.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
38,38.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
39,39.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
39,39.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
40,40.0,EXT_L,EXT,0.0,-181.35067992322337,-0.060599880023995197,-181.35067992322337,-0.060612
40,40.0,EXT_R,EXT,5001.0,0.0,-0.06,-181.35067992322337,-0.060612
41,41.0,EXT_L,EXT,-1879.0,-179.55548412117207,-0.061487704918032786,-179.55548412117207,-0.061487704918032786
41,41.0,topoI,25,3001.0,-179.55548412117207,-0.061487704918032786,-179.55548412117207,-0.061487704918032786
41,41.0,EXT_R,EXT,8001.0,0.0,-0.06,-179.55548412117207,-0.061487704918032786
42,42.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
42,42.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
43,43.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
43,43.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
44,44.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
44,44.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
45,45.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
45,45.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
46,46.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
46,46.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
47,47.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
47,47.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
48,48.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
48,48.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
49,49.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
49,49.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
50,50.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
50,50.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
51,51.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
51,51.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
52,52.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
52,52.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
53,53.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
53,53.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
54,54.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
54,54.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
55,55.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
55,55.0,EXT_R,EXT,5001.0,0.0,-0.06,-177.76028831912078,-0.059412000000000006
56,56.0,EXT_L,EXT,0.0,-177.76028831912078,-0.0594001199760048,-177.76028831912078,-0.059412000000000006
